code,name,district,percentage_pass,percentage_pass_round,national_rank,candidates_last,number_pass_last,percentage_pass_last,national_rank_last,school_type,longitude,latitude,ownership,ward,number_enrolled,number_teaching_staff,ratio,number_non_teaching_staff_by_school,number_non_teaching_staff_by_govt,region,candidates,number_pass,percentage_pass_change
PS1103-013,Dakawa Primary School,Morogoro,30.66666667,31,11194,52,1,1.923076923,14372,primary,37.7005106,-7.426609,government,Bwakira Chini,468,1361,0,1,,Morogoro,75,23,28.74358974
S0332,Morogoro Secondary School,Morogoro Municipal,66,66,1025,326,203,62.26993865,524,secondary,,,government,Boma,1518,121,13,,,Morogoro,208,138,3.73006135
S0731,Makongo Secondary School,Kinondoni Municipal,70,70,1270,664,325,48.94578313,1159,secondary,-6.755769874,39.22332752,private,Makongo,1811,118,15,32,0,Dar es Salaam,402,281,21.05421687
S0204,Jangwani Secondary School,Ilala Municipal,87,87,307,294,219,74.48979592,325,secondary,-6.814192389,39.27321162,government,Upanga Magharibi,1080,111,10,1,19,Dar es Salaam,265,230,12.51020408
S4848,,,71,71,1520,164,83,50.6097561,1609,,,,,Chanji,520,107,5,111,218,,222,157,20.3902439
PS0102-100,St Jude Primary School,Arusha Municipal,100,100,223,217,217,100,110,primary,,,private,Moshono,998,104,10,164,,Arusha,168,168,0
S0101,Azania Secondary School,Ilala Municipal,80,80,449,442,296,66.96832579,340,secondary,-6.812420614,39.27437196,government,Upanga Magharibi,1871,100,19,4,6,Dar es Salaam,425,338,13.03167421
PS0206-053,Mbagala Kuu Primary School,Temeke Municipal,59.91561181,60,4405,441,221,50.11337868,2503,primary,39.28506139,-6.902959229,government,Mbagala Kuu,4028,91,44,2,0,Dar es Salaam,474,284,9.80223313
S0496,Jitegemee Secondary School,Temeke Municipal,54,54,2598,682,321,47.06744868,1396,secondary,-6.854647144,39.28175617,private,Miburani,2437,91,27,44,0,Dar es Salaam,683,370,6.93255132
S2499,Tusiime Secondary School,Ilala Municipal,100,100,34,164,164,100,49,secondary,-6.845948984,39.20183296,private,Segerea,1064,90,12,58,0,Dar es Salaam,154,154,0
S0134,Moshi Secondary School,Moshi Municipal,88,88,379,49,31,63.26530612,536,secondary,,,government,Mfumuni,823,86,10,,12,Kilimanjaro,59,52,24.73469388
S1222,Kihonda Secondary School,Morogoro Municipal,51,51,1735,334,143,42.81437126,966,secondary,,,government,Kihonda Magorofani,1349,85,16,3,1,Morogoro,278,142,8.185628743
S0857,Longido Secondary School,Longido,70,70,961,229,156,68.12227074,540,secondary,36.706101,-2.734619,government,Longido,1651,83,20,16,5,Arusha,243,171,1.877729258
S0325,Lugalo Secondary School,Iringa Municipal,81,81,579,164,109,66.46341463,495,secondary,,,government,Gangilonga,1048,82,13,,12,Iringa,175,142,14.53658537
S0222,Zanaki Secondary School,Ilala Municipal,89,89,371,313,237,75.71884984,402,secondary,-6.814417851,39.28029188,government,Upanga Magharibi,935,81,12,3,11,Dar es Salaam,228,202,13.28115016
S0306,Dodoma Secondary School,Dodoma Municipal,81,81,683,258,125,48.4496124,997,secondary,,,government,Makole,973,81,12,7,,Dodoma,240,195,32.5503876
S0316,Kibasila Secondary School,Temeke Municipal,79,79,453,403,261,64.76426799,355,secondary,-6.854904315,39.268185,government,Miburani,1366,81,17,2,15,Dar es Salaam,429,340,14.23573201
S0328,Mawenzi Secondary School,Moshi Municipal,78,78,929,270,148,54.81481481,595,secondary,,,government,Kilimanjaro,1084,81,13,4,4,Kilimanjaro,214,167,23.18518519
S0485,Majengo Secondary School,Moshi Municipal,98,98,270,416,397,95.43269231,200,secondary,,,private,Majengo,1910,80,24,30,,Kilimanjaro,451,443,2.567307692
PS0302-059,Nkuhungu Primary School,Dodoma Municipal,66.97247706,67,3706,302,157,51.98675497,2332,primary,,,government,Kizota,3000,77,39,1,1,Dodoma,327,219,14.9857221
PS2403-030,Mwatulole Primary School,Geita,72.5,73,3186,,,,,primary,,,government,Kalangalala Kusini,3610,77,47,2,0,Geita,160,116,
S0104,Bwiru Boys Secondary School,Ilemela,87,87,329,125,105,84,216,secondary,,,government,Pasiansi,995,77,13,6,12,Mwanza,95,83,3
PS0206-017,Mtoni Primary School,Temeke Municipal,79.19708029,79,1573,269,149,55.39033457,1377,primary,39.274811,-6.875450874,government,Mtoni,2200,75,29,2,0,Dar es Salaam,274,217,23.80674572
S4004,Tandika Secondary School,Temeke Municipal,50,50,2556,361,177,49.03047091,1038,secondary,-89.99856652,-177.8524146,,Tandika,1928,75,26,4,2,Dar es Salaam,316,157,0.969529086
PS0206-058,Maendeleo Primary School,Temeke Municipal,74.30555556,74,2678,323,191,59.13312694,1836,primary,39.285713,-6.902768876,government,Mbagala Kuu,2962,74,40,2,0,Dar es Salaam,432,321,15.17242862
S0147,Pugu Secondary School,Ilala Municipal,85,85,438,103,70,67.96116505,357,secondary,-6.89796804,39.13693559,government,Pugu,644,74,9,14,4,Dar es Salaam,104,88,17.03883495
PS0206-012,Mbagala Primary School,Temeke Municipal,72.7520436,73,2816,309,174,56.31067961,1818,primary,39.26748414,-6.905366564,government,Mbagala,3381,73,46,2,0,Dar es Salaam,367,267,16.44136399
PS0206-029,Kizinga Primary School,Temeke Municipal,65.23076923,65,4083,279,112,40.14336918,3939,primary,39.27636043,-6.914805395,government,Mbagala,2429,73,33,2,0,Dar es Salaam,325,212,25.08740006
PS0206-043,Kiburugwa Primary School,Temeke Municipal,63.53276353,64,4301,322,135,41.92546584,3214,primary,39.25363796,-6.914140817,government,Kiburugwa,3478,72,48,,0,Dar es Salaam,351,223,21.60729769
